"","Sample","Concentration"
"1","98T1",7.69450808316601
"2","98T2",3.17489913620497
"3","99T1",3.5236232107108
"4","99T2",3.69452405883147
"5","26T1",7.58206371234783
"6","26T3",7.73677755647983
"7","26T4",10.5719858527301
"8","4T1",13.842445796461
"9","4T3",15.9806436871787
"10","4T4",2.99012178038459
"11","10T1",9.13161403082878
"12","10T3",27.3020261413548
"13","10T4",11.6263624071995
"14","13T1",4.02183577496766
"15","13T2",28.6925720033899
"16","13T3",22.7328394812537
"17","14T1",9.20805234690961
"18","14T2",10.9444062723705
"19","14T3",14.2779748051578
"20","19T1",5.62369298931127
"21","23T1",23.6304706987848
"22","23T2",9.10094819373806
"23","23T4",17.893995655147
"24","24T1",14.0480675572428
"25","24T2",6.70315803178706
"26","24T4",17.7935222460614
"27","28T1",2.01630210405053
"28","28T2",22.8108429848798
"29","28T3",27.8793405388139
"30","29T4",23.0442728165097
"31","30T1",26.4161123971834
"32","35T1",9.75601517970158
"33","35T2",5.20305201127089
"34","35T3",7.21972774966095
"35","35T4",11.690990159668
"36","36T1",8.57157276208762
"37","36T2",-1.10618901847734
"38","37T1",13.7377008003923
"39","37T2",12.9297127211136
"40","37T3",7.34413572487743
"41","37T4",5.66278127931844
"42","43T1",2.18533817283309
"43","43T2",7.12416688804492
"44","43T3",3.44717272149781
"45","51T1",4.14016139732511
"46","51T3",4.80208353297228
"47","51T3",3.20646903789324
"48","51T3",3.05915658726955
"49","51T3",1.4635420921905
"50","51T4",17.5157109411825
"51","53T1",27.2627054881355
"52","53T3",5.55880696438679
"53","53T4",4.93432906633916
"54","56T1",28.0792890967189
"55","56T2",15.1292597642211
"56","56T3",6.48716328997502
"57","59T1",2.36556236493642
"58","59T2",3.70599377474351
"59","61T1",0.716406655992064
"60","61T2",6.64311048941017
"61","65T4",41.0077769346191
"62","79T1",1.6184597536099
"63","79 T2",1.20256089918892
"64","82T1",1.87958756104791
"65","82T3",4.09265911715173
"66","82T4",4.92181077122334
"67","83T3",2.27640144717394
"68","83T4",1.80603718354352
"69","84T1",5.94886468058075
"70","84T2",9.63221856120302
"71","86T1",9.5376660490124
"72","86T2",15.3185521696678
"73","86T3",1.5614261125061
"74","87T1",13.2399127486386
"75","87T2",2.52699854385693
"76","87T3",8.52802711458365
"77","88T1",6.27034069588968
"78","88T2",1.12307214658116
"79","89T1",8.45853817556973
"80","89T2",11.9506676428264
"81","91T1",5.53260536870611
"82","91T2",17.1985270694522
"83","91T3",2.31668493082131
"84","91T4",1.20992525230757
"85","94T1",12.6306701077251
"86","94T2",4.49859256168777
"87","97T1",2.28183592391858
"88","97T2",2.85800645694686
"89","97T3",14.2050394947533
